,ward,gender,town_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
468,aoba,f,中江２丁目,3,1,6,1,4,6,2,7,9,4,6,11,8,1,7,4,5,5,4,6,5,10,9,6,4,5,9,11,10,6,9,4,8,5,9,12,9,9,14,13,16,12,13,15,6,14,12,13,5,15,8,6,8,10,10,13,7,8,6,5,7,8,9,7,9,6,7,12,12,12,6,10,7,10,7,8,5,4,7,3,8,1,9,7,5,9,8,6,5,3,2,2,2,3,2,0,3,1,0,0,1,15,28,33,24,34,41,35,57,62,59,42,39,40,49,40,27,30,31,16
469,aoba,f,中山１丁目,1,6,1,5,2,7,8,3,6,10,11,5,6,5,8,4,3,4,7,5,6,2,3,4,4,1,1,4,4,1,6,10,5,5,10,9,7,6,6,7,7,9,9,5,8,4,10,9,6,9,8,12,6,2,10,11,7,8,4,8,10,8,9,4,6,5,11,1,7,6,9,7,10,4,4,6,10,4,8,9,6,8,6,6,9,6,2,4,6,3,7,1,1,2,2,2,1,0,0,0,1,15,34,35,23,19,11,36,35,38,38,38,38,37,30,34,37,35,21,17
470,aoba,f,中山２丁目,3,5,2,10,4,13,5,6,4,6,3,5,3,3,7,6,5,5,4,6,8,6,5,4,6,5,5,6,8,6,6,11,7,6,4,10,9,3,6,11,2,4,11,10,9,9,8,7,8,8,7,5,11,9,12,8,11,12,8,7,4,9,6,8,6,6,7,9,5,9,8,12,10,12,7,6,9,10,9,13,8,8,4,8,6,9,10,13,7,7,5,4,5,3,0,3,0,1,0,0,3,24,34,21,26,29,30,34,39,36,40,44,46,33,36,49,47,34,46,24
471,aoba,f,中山３丁目,2,0,4,4,5,3,0,3,1,0,3,4,4,2,3,1,2,1,0,2,5,6,2,2,3,4,2,2,4,2,4,5,3,4,1,3,2,5,7,4,6,6,6,4,3,4,1,3,4,7,8,6,6,7,3,5,1,5,2,5,3,2,5,2,3,3,2,5,3,7,8,6,6,1,2,5,10,9,9,6,6,6,5,3,1,4,2,3,6,2,0,2,2,1,2,3,0,0,1,0,0,15,7,16,6,18,14,17,21,25,19,30,18,15,20,23,39,21,17,11
472,aoba,f,中山４丁目,7,6,5,6,10,8,6,7,12,11,7,17,13,12,8,16,12,13,21,9,23,13,8,13,13,21,15,14,11,14,14,7,12,9,8,13,14,11,13,15,15,12,17,8,24,26,25,26,18,27,20,21,30,26,22,23,15,24,24,30,20,15,17,12,11,10,15,14,14,16,18,16,11,9,5,14,14,7,5,10,7,10,6,9,7,9,8,12,6,9,5,2,5,4,2,2,1,2,0,1,0,34,44,57,71,70,75,50,66,76,122,119,116,75,69,59,50,39,44,24
473,aoba,f,中山５丁目,3,7,6,7,2,7,4,6,4,11,4,5,4,4,5,1,3,3,7,6,3,7,1,9,2,4,8,2,3,8,5,7,11,5,7,9,9,4,9,3,5,9,8,5,6,9,10,11,5,9,7,8,6,3,5,7,10,6,9,2,6,8,4,3,5,4,3,7,4,7,7,10,4,5,4,7,5,11,6,5,7,3,10,7,9,3,4,8,6,6,0,3,1,3,1,2,0,0,0,0,0,25,32,22,20,22,25,35,34,33,44,29,34,26,25,30,34,36,27,10
474,aoba,f,中山６丁目,2,1,2,6,2,4,2,7,7,6,2,3,7,5,4,8,4,7,8,1,4,8,5,5,2,3,3,6,5,4,8,8,4,10,5,4,6,6,9,9,5,6,9,11,5,11,11,6,12,9,6,12,8,7,5,9,7,7,10,9,7,6,6,3,3,5,7,5,7,7,11,6,12,10,3,7,5,6,12,15,11,5,5,4,8,8,7,4,7,3,6,1,1,2,2,1,2,1,0,0,0,13,26,21,28,24,21,35,34,36,49,38,42,25,31,42,45,33,29,16
475,aoba,f,中山７丁目,7,4,12,6,9,7,13,3,2,5,2,8,3,5,6,4,7,4,8,6,8,6,0,3,2,2,5,6,6,9,5,6,8,7,11,16,6,6,6,10,10,9,10,13,7,4,7,13,5,5,4,5,8,6,2,5,4,3,4,6,5,2,3,7,3,3,5,3,4,2,3,1,5,3,6,5,9,0,2,5,10,4,6,6,4,3,2,8,2,1,2,3,0,1,0,0,1,0,0,0,0,38,30,24,29,19,28,37,44,49,34,25,22,20,17,18,21,30,16,7
476,aoba,f,中山８丁目,8,5,4,7,4,6,4,10,2,2,7,5,4,14,12,9,7,9,7,8,8,12,9,4,5,7,6,8,9,5,3,9,7,10,11,4,11,10,7,17,13,10,14,14,15,20,21,18,13,16,19,16,12,10,16,15,6,10,7,9,10,8,10,5,8,6,6,5,8,11,15,12,14,13,12,9,11,6,11,10,12,7,5,7,8,9,6,4,7,3,1,4,3,1,0,0,1,1,1,2,1,28,24,42,40,38,35,40,49,66,88,73,47,41,36,66,47,39,29,15
477,aoba,f,中山９丁目,5,1,6,3,2,0,4,2,5,4,4,6,6,9,3,8,5,1,2,2,3,7,2,4,3,2,3,4,4,2,2,1,3,5,5,3,3,5,6,3,11,5,5,4,11,8,7,9,3,4,5,12,5,5,2,2,5,5,6,1,3,5,5,6,6,7,4,9,3,6,4,12,16,3,3,9,7,7,5,9,7,2,3,6,2,5,5,2,4,0,1,1,2,2,1,1,0,0,0,1,0,17,15,28,18,19,15,16,20,36,31,29,19,25,29,38,37,20,16,9
478,aoba,f,中山台１丁目,1,4,2,4,1,5,4,2,1,1,1,0,2,2,2,1,4,5,1,3,4,3,2,2,4,3,3,2,2,1,0,3,1,5,3,3,2,3,3,2,4,3,6,1,1,3,8,2,6,4,3,3,4,6,1,6,4,4,8,4,5,0,4,2,3,1,4,6,2,10,7,5,3,2,3,3,1,2,1,4,2,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,12,13,7,14,15,11,12,13,15,23,17,26,14,23,20,11,5,2,2
479,aoba,f,中山台２丁目,2,3,5,1,4,3,1,2,1,4,3,2,5,2,3,1,12,2,9,7,5,6,6,13,4,7,4,3,1,2,4,5,5,3,7,4,7,3,4,8,4,5,0,7,9,5,7,9,18,12,8,12,10,8,15,14,6,11,11,11,11,14,7,8,9,7,8,11,11,10,13,14,15,8,2,7,5,4,3,3,2,6,1,2,10,3,6,1,0,4,1,2,0,2,0,1,1,0,0,0,0,15,11,15,31,34,17,24,26,25,51,53,53,49,47,52,22,21,14,7
480,aoba,f,中山台３丁目,1,2,1,3,0,5,1,0,3,1,0,4,2,2,2,3,6,2,0,4,3,2,2,1,2,3,3,4,1,0,2,4,2,3,1,6,2,0,1,0,4,2,4,4,3,3,3,6,4,1,5,6,3,6,5,6,8,10,6,4,3,4,9,4,6,10,5,9,9,9,12,8,3,5,4,4,3,3,4,4,0,0,2,1,2,3,1,2,1,0,1,1,1,0,0,2,0,0,0,0,0,7,10,10,15,10,11,12,9,17,17,25,34,26,42,32,18,5,7,5
481,aoba,f,中山台４丁目,1,0,1,2,5,2,2,4,3,3,1,3,1,2,1,2,3,1,4,2,5,1,1,0,1,1,0,2,0,1,3,2,2,3,2,5,2,2,2,6,3,3,3,5,3,2,6,3,5,4,3,3,2,3,0,5,6,6,3,5,4,7,7,11,8,8,4,7,6,6,2,4,4,2,1,0,0,8,3,2,3,3,0,0,2,1,1,3,0,1,1,1,0,0,0,0,1,0,0,0,0,9,14,8,12,8,4,12,17,17,20,11,25,37,31,13,13,8,6,3
482,aoba,f,中山台西,1,0,2,3,2,1,3,0,2,5,4,3,1,3,6,4,5,10,5,4,3,3,3,1,4,2,0,2,0,1,3,0,0,2,2,3,0,1,2,4,4,2,1,5,9,6,5,8,6,10,6,9,9,3,0,3,1,2,2,4,1,1,2,2,0,1,1,5,3,4,1,1,2,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8,11,17,28,14,5,7,10,21,35,27,12,6,14,6,3,1,0,2
483,aoba,f,中山吉成１丁目,6,2,4,4,5,5,4,2,1,3,1,2,5,5,2,2,4,3,7,9,4,4,5,3,3,1,0,3,3,1,7,4,9,7,6,8,5,10,9,2,3,5,8,11,4,8,6,10,4,7,5,8,2,6,9,2,6,2,3,3,9,2,5,8,4,7,2,7,7,8,9,8,7,3,9,2,16,8,6,7,6,4,3,7,5,1,2,5,1,3,3,5,2,1,2,1,0,0,0,0,0,21,15,15,25,19,8,33,34,31,35,30,16,28,31,36,39,25,12,14
484,aoba,f,中山吉成２丁目,4,3,2,3,3,6,4,4,2,5,4,4,4,2,2,5,6,1,3,2,5,5,4,3,3,5,3,2,4,7,4,4,6,6,10,5,8,3,4,8,3,7,8,7,3,9,6,0,2,7,4,6,7,3,1,5,3,3,6,6,3,2,6,3,3,4,4,3,9,6,8,2,6,4,5,7,6,9,6,9,5,2,4,7,10,3,2,3,3,3,1,1,1,0,0,2,0,0,0,0,0,15,21,16,17,20,21,30,28,28,24,21,23,17,26,25,37,28,14,5
485,aoba,f,中山吉成３丁目,1,0,2,2,2,2,0,3,4,2,2,0,2,2,3,1,1,0,1,8,2,2,1,1,3,1,1,2,1,0,1,2,0,2,1,1,2,2,1,1,0,2,2,5,2,2,4,5,2,1,0,6,1,1,3,4,2,2,0,3,1,1,2,1,1,2,1,2,4,2,7,3,4,10,4,5,7,2,4,4,2,4,4,0,4,2,2,2,0,0,2,0,0,1,1,1,0,0,0,0,0,7,11,9,11,9,5,6,7,11,14,11,11,6,11,28,22,14,6,5
486,aoba,f,新坂町,2,6,1,3,5,2,7,7,2,3,4,1,4,2,0,5,2,3,3,4,4,8,9,14,7,8,9,8,8,5,4,8,9,4,4,8,6,9,6,9,5,16,6,6,10,4,6,1,5,4,7,7,7,5,4,5,3,1,1,5,2,2,5,3,7,4,3,2,6,2,5,5,6,5,1,3,5,1,5,1,4,5,6,6,1,3,6,5,2,4,1,2,0,2,0,1,0,0,0,0,0,17,21,11,17,42,38,29,38,43,20,30,15,19,17,22,15,22,20,6
487,aoba,f,西勝山,5,4,4,7,7,7,10,5,8,7,10,5,11,7,11,12,7,10,8,5,6,11,5,12,9,7,9,9,7,8,6,9,9,8,9,10,15,17,11,13,10,19,19,16,8,8,18,13,13,18,15,15,15,11,13,15,19,16,17,12,7,14,16,16,13,10,14,17,19,23,20,20,23,11,11,17,10,13,26,15,16,11,14,20,14,15,14,11,12,11,9,7,6,5,5,2,6,5,2,0,2,27,37,44,42,43,40,41,66,72,70,69,79,66,83,85,81,75,63,49
488,aoba,f,錦ケ丘１丁目,3,9,5,6,8,5,8,8,5,2,4,3,3,3,1,6,1,1,2,1,1,1,1,2,2,2,0,3,4,2,3,7,5,5,9,11,7,4,3,6,4,9,10,4,2,7,3,4,4,5,3,0,3,0,3,1,5,3,3,3,3,3,5,4,4,4,2,8,5,4,6,5,1,2,1,3,2,1,3,1,1,0,0,0,2,1,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,31,28,14,11,7,11,29,31,29,23,9,15,19,23,15,10,3,5,2
489,aoba,f,錦ケ丘２丁目,0,1,1,1,2,0,3,5,1,1,3,3,11,5,11,4,9,10,7,5,11,3,5,0,2,1,0,0,0,1,1,1,1,1,1,1,0,2,1,3,2,1,8,5,9,6,12,14,17,8,8,2,4,5,8,4,2,3,2,5,0,3,3,4,2,4,1,3,2,5,2,2,6,2,1,1,2,1,2,3,1,1,0,3,0,0,1,0,1,0,2,1,1,0,0,1,0,0,0,0,0,5,10,33,35,21,2,5,7,25,57,27,16,12,15,13,9,5,2,5
490,aoba,f,錦ケ丘３丁目,2,7,9,14,13,17,26,25,21,34,35,26,31,29,7,10,4,9,7,7,1,6,2,3,3,1,4,1,2,2,3,3,3,7,14,17,20,26,28,19,28,35,35,24,11,22,13,8,11,12,10,9,3,4,4,1,2,1,2,3,4,5,4,5,5,2,2,3,3,4,3,2,2,0,0,1,1,1,0,2,0,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,45,123,128,37,15,10,30,110,133,66,30,9,23,14,7,5,3,2,1
491,aoba,f,錦ケ丘４丁目,15,14,23,20,16,19,12,18,16,8,12,7,8,6,2,1,4,3,2,0,1,3,0,1,0,2,3,3,11,9,8,9,23,23,15,25,20,17,25,15,16,13,11,5,14,3,7,2,5,1,3,1,2,1,1,0,3,2,3,0,1,0,2,4,1,2,1,1,3,0,2,0,0,0,0,1,1,0,2,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,88,73,35,10,5,28,78,102,59,18,8,8,8,7,2,4,3,2,0
492,aoba,f,錦ケ丘５丁目,6,10,8,9,10,9,7,10,14,9,14,12,9,13,8,12,9,13,7,5,5,2,4,5,2,4,5,4,5,9,3,6,8,9,9,11,8,7,14,10,8,13,14,8,10,12,21,18,14,15,9,8,5,9,6,3,7,6,8,7,3,6,4,7,3,8,5,3,4,12,5,7,11,11,5,3,3,4,6,0,2,1,3,2,4,0,2,1,0,0,3,1,0,0,1,0,0,0,0,0,0,43,49,56,46,18,27,35,50,53,80,37,31,23,32,39,16,12,3,5
493,aoba,f,錦ケ丘６丁目,4,3,5,9,8,12,9,4,5,5,10,6,7,8,1,7,7,6,4,3,3,4,4,3,5,2,5,0,3,2,5,1,6,7,6,2,4,10,8,8,10,10,10,9,10,4,14,10,13,9,5,8,10,7,4,7,4,3,5,7,11,5,1,4,4,3,2,4,5,8,5,10,10,10,2,4,9,2,4,5,3,0,0,1,0,1,2,1,1,1,1,0,1,0,1,0,0,0,0,1,1,29,35,32,27,19,12,25,32,49,50,34,26,25,22,37,24,4,6,5
494,aoba,f,錦ケ丘７丁目,0,1,1,2,1,0,7,0,3,7,5,9,5,5,3,5,3,2,3,1,5,2,2,2,3,1,1,1,3,0,0,0,6,2,4,2,5,2,2,5,3,4,5,4,7,4,3,9,4,7,5,4,4,5,4,3,4,4,5,1,3,1,4,2,6,3,4,2,4,3,1,3,5,3,1,4,4,2,1,2,4,1,0,2,2,1,2,0,0,1,1,1,1,2,0,0,0,0,0,0,0,5,17,27,14,14,6,12,16,23,27,22,17,16,16,13,13,9,4,5
495,aoba,f,錦ケ丘８丁目,2,3,2,3,5,6,6,14,10,17,10,12,26,14,27,28,20,19,21,8,9,6,9,5,2,4,3,2,3,1,3,2,9,1,1,4,4,4,12,12,11,13,21,33,25,29,23,22,14,15,14,17,13,7,17,11,7,6,1,3,3,5,3,2,3,2,2,4,4,9,4,8,4,1,5,5,1,5,4,1,3,0,1,1,1,1,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,15,53,89,96,31,13,16,36,103,103,68,28,16,21,22,16,6,5,1
496,aoba,f,錦ケ丘９丁目,1,1,1,1,2,1,4,4,7,4,6,7,8,7,14,10,8,4,6,1,4,1,0,0,0,0,2,2,2,1,2,1,1,2,1,0,1,0,1,7,6,6,8,10,14,12,9,9,5,3,7,4,0,4,2,1,2,1,5,2,0,2,0,0,0,1,0,3,2,1,0,0,2,0,1,0,0,2,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,42,29,5,7,7,9,44,38,17,11,2,7,3,6,1,2,0
497,aoba,f,錦町１丁目,7,7,6,8,8,13,10,8,8,5,9,10,10,10,5,4,7,6,9,5,7,8,8,6,10,13,15,17,14,18,10,12,10,10,11,25,15,15,15,13,16,21,20,24,20,25,14,23,24,19,21,19,10,18,10,7,10,7,8,11,12,10,10,7,4,7,20,12,16,10,15,20,12,15,7,8,10,6,7,11,6,5,7,3,5,5,4,7,3,4,2,3,1,1,2,0,1,0,1,0,0,36,44,44,31,39,77,53,83,101,105,78,43,43,65,69,42,26,23,11
498,aoba,f,錦町２丁目,5,6,2,6,6,7,6,5,1,2,3,2,2,3,0,3,3,1,5,2,1,9,12,5,8,8,6,4,10,11,12,12,5,20,13,8,12,10,11,8,8,8,9,8,15,8,10,8,10,7,14,5,10,2,2,10,1,9,10,4,5,9,6,3,3,9,3,9,7,3,10,2,2,2,3,3,6,3,4,4,5,5,4,3,4,0,4,3,4,1,4,3,2,2,5,1,0,1,1,0,1,25,21,10,14,35,39,62,49,48,43,33,34,26,31,19,20,21,12,20
499,aoba,f,新川,1,0,1,0,0,0,0,3,0,0,0,0,0,2,0,0,1,1,2,1,0,0,1,1,2,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,3,3,2,1,1,1,2,0,2,5,0,2,4,0,2,3,0,3,3,5,0,1,5,4,0,1,4,3,5,1,5,5,6,2,3,2,0,2,6,8,4,2,5,2,4,0,3,1,2,2,1,1,2,1,1,0,0,0,0,0,0,2,3,2,5,4,4,3,3,10,10,8,14,10,14,21,18,17,8,6
500,aoba,f,支倉町,5,6,8,6,4,7,2,5,5,11,5,8,5,4,6,5,6,11,7,17,12,7,15,12,12,13,14,13,23,11,17,11,15,18,10,9,16,13,9,11,8,10,23,14,20,19,19,15,17,20,13,22,25,16,10,18,15,13,12,13,18,16,18,5,16,15,8,8,15,15,15,8,12,11,8,8,9,11,6,3,6,6,3,4,2,3,5,3,5,5,4,1,3,1,0,2,1,0,0,1,0,29,30,28,46,58,74,71,58,75,90,86,71,73,61,54,37,21,21,13
501,aoba,f,八幡１丁目,5,5,5,6,4,6,6,9,2,7,11,6,7,10,6,6,9,4,7,8,9,12,13,12,6,6,4,4,5,6,8,8,4,8,6,12,12,13,8,12,13,9,7,7,11,9,12,15,6,12,12,9,9,10,7,8,7,7,11,9,8,14,8,10,10,8,9,4,9,6,16,10,4,3,2,3,9,4,3,3,3,8,6,5,3,4,3,4,3,4,6,2,2,2,0,2,0,3,0,1,0,25,30,40,34,52,25,34,57,47,54,47,42,50,36,35,22,25,18,18
502,aoba,f,八幡２丁目,7,0,5,6,5,2,3,1,2,3,5,10,3,2,7,6,2,5,6,4,12,11,12,9,9,25,9,14,11,12,4,7,4,7,7,11,5,9,7,7,6,9,7,7,8,7,15,10,13,13,5,4,10,6,13,6,7,11,7,6,2,7,8,5,5,9,7,6,7,6,13,8,12,9,3,7,12,4,10,10,3,8,10,7,4,6,8,4,3,5,8,2,4,2,2,3,1,0,3,1,2,23,11,27,23,53,71,29,39,37,58,38,37,27,35,45,43,32,26,28
503,aoba,f,八幡３丁目,4,6,3,3,4,2,5,1,3,5,7,6,6,6,9,5,8,6,8,18,15,19,12,23,23,21,20,12,14,11,9,6,10,10,9,7,7,8,13,9,13,8,6,11,14,15,16,15,16,7,11,17,19,22,12,15,15,14,16,17,17,18,16,9,12,9,12,8,13,14,13,11,10,12,5,11,9,9,8,7,5,6,9,4,8,7,8,5,9,6,4,7,3,3,1,2,2,3,0,0,4,20,16,34,45,92,78,44,44,52,69,81,77,72,56,51,44,32,35,29
504,aoba,f,八幡４丁目,4,2,1,2,7,2,3,5,4,5,7,4,5,5,8,8,4,8,9,6,8,8,8,12,7,7,10,4,9,8,3,7,8,7,8,8,7,8,2,5,7,7,9,7,11,8,9,18,9,11,8,9,13,9,10,13,8,13,8,9,8,11,8,6,4,8,11,9,11,8,13,6,15,13,5,6,9,11,9,6,8,4,6,8,6,11,13,5,5,8,7,8,3,4,9,2,1,3,4,0,2,16,19,29,35,43,38,33,30,41,55,49,51,37,47,52,41,32,42,43
505,aoba,f,八幡５丁目,3,1,1,2,0,2,1,2,2,1,2,0,0,4,2,1,4,2,0,2,1,3,1,7,3,6,7,5,2,4,3,6,3,0,2,2,3,3,6,8,2,1,4,3,4,11,8,6,2,4,1,5,1,3,5,8,3,3,6,5,2,4,3,6,5,7,3,4,4,3,2,5,9,5,0,4,5,8,2,5,5,4,9,4,2,4,9,3,1,4,3,0,2,1,1,0,2,1,1,1,0,7,8,8,9,15,24,14,22,14,31,15,25,20,21,21,24,24,21,12
506,aoba,f,八幡６丁目,2,3,1,1,3,1,2,1,2,0,2,0,2,1,2,1,4,1,3,0,0,2,2,2,6,1,5,0,1,1,2,3,0,4,2,0,3,4,5,4,1,3,5,11,4,2,5,2,4,7,5,8,2,6,3,2,6,5,2,0,8,7,5,3,5,3,4,5,7,9,3,11,9,3,2,8,5,8,4,9,11,3,4,3,6,1,5,3,3,4,2,3,1,0,1,2,1,0,0,0,0,10,6,7,9,12,8,11,16,24,20,24,15,28,28,28,34,27,16,10
507,aoba,f,八幡７丁目,0,3,1,1,0,3,4,0,2,2,1,1,1,3,0,0,1,3,1,4,5,1,0,2,1,0,1,1,3,0,0,2,2,3,3,4,0,5,5,1,2,4,3,1,8,1,8,7,3,5,4,3,3,8,7,4,4,1,2,7,7,7,3,5,6,3,7,7,4,1,5,4,4,6,7,5,4,3,6,2,1,3,2,1,4,3,4,1,1,0,1,2,1,0,0,0,1,0,0,1,0,5,11,6,9,9,5,10,15,18,24,25,18,28,22,26,20,11,9,6
508,aoba,f,葉山町,2,4,6,3,5,3,0,7,2,5,2,7,4,6,0,2,10,3,7,5,4,17,8,16,16,13,22,15,21,10,14,11,10,14,12,16,9,12,4,17,7,6,6,11,13,14,11,17,11,14,15,14,16,12,13,7,14,9,8,8,14,15,15,14,11,10,8,7,17,12,13,8,12,14,10,10,8,7,11,5,11,15,12,9,7,9,10,11,11,6,11,4,10,4,8,6,5,2,1,3,1,20,17,19,27,61,81,61,58,43,67,70,46,69,54,57,41,54,47,55
509,aoba,f,東勝山１丁目,5,2,1,3,4,4,3,1,1,5,1,3,1,6,0,4,1,0,3,4,5,4,3,1,4,4,1,3,1,3,2,4,6,7,4,3,2,5,7,1,5,3,4,5,5,6,7,2,5,3,4,6,5,2,3,1,5,4,1,2,5,5,1,2,3,3,3,4,5,3,4,6,1,6,4,1,3,1,1,9,1,2,3,6,1,7,1,3,3,1,1,0,0,0,2,0,0,0,1,0,1,15,14,11,12,17,12,23,18,22,23,20,13,16,18,21,15,13,15,5
510,aoba,f,東勝山２丁目,2,2,4,2,6,4,4,6,2,2,4,5,5,2,6,4,4,7,2,7,7,5,8,0,5,4,5,4,8,4,3,5,8,7,10,2,7,12,8,7,8,4,7,7,7,10,10,9,14,9,6,1,5,10,7,13,5,6,9,5,6,11,6,7,3,5,7,6,6,5,8,7,6,7,9,6,19,7,7,8,8,6,10,8,7,7,8,4,3,4,4,8,6,5,3,0,1,1,1,2,1,16,18,22,24,25,25,33,36,33,52,29,38,33,29,37,47,39,26,32
511,aoba,f,東勝山３丁目,2,4,2,8,2,7,4,8,4,6,4,5,3,5,5,3,1,6,6,4,6,5,4,6,6,9,1,2,6,4,2,3,4,2,6,9,5,5,8,8,7,7,8,11,7,11,9,12,8,2,8,6,9,5,3,7,9,11,4,9,9,6,8,8,8,3,9,5,8,9,8,15,11,8,8,12,12,13,9,16,7,7,8,6,8,5,3,12,7,6,3,6,1,5,2,4,1,0,1,0,0,18,29,22,20,27,22,17,35,40,42,31,40,39,34,50,62,36,33,23
512,aoba,f,広瀬町,5,10,12,6,17,9,6,13,6,12,5,9,14,4,10,8,9,8,9,7,9,22,17,14,17,15,11,7,10,9,15,14,19,13,20,20,13,15,15,11,8,24,12,17,11,20,24,22,24,19,15,17,21,18,10,20,15,14,12,14,20,10,16,13,28,10,11,7,14,22,14,18,14,4,5,15,9,14,5,15,7,6,2,6,8,11,7,7,6,6,4,3,3,2,1,2,0,0,0,0,1,50,46,42,41,79,52,81,74,72,109,81,75,87,64,55,58,29,37,16
513,aoba,f,福沢町,6,2,1,3,5,1,3,7,3,2,5,1,0,7,2,5,3,1,7,3,4,7,11,11,6,10,18,7,5,12,13,7,10,9,11,5,11,14,11,14,8,6,11,10,9,10,5,10,12,8,8,5,10,11,9,6,6,8,9,8,7,6,6,6,5,2,16,5,6,6,8,6,9,4,6,5,5,4,4,3,3,4,4,2,6,5,6,4,5,5,1,3,1,0,0,2,1,1,1,2,0,17,16,15,19,39,52,50,55,44,45,43,37,30,35,33,21,19,25,12
514,aoba,f,藤松,2,0,0,1,3,2,2,3,2,1,1,3,0,3,2,1,1,2,4,1,1,3,2,6,1,2,6,4,3,4,3,4,9,1,3,2,1,1,6,2,2,6,6,3,4,3,11,4,4,5,1,2,1,2,2,2,4,2,3,5,2,1,3,2,4,4,3,4,8,12,5,9,3,6,3,8,5,2,4,2,6,5,5,4,3,3,2,2,2,2,1,2,1,1,3,1,0,1,1,1,0,6,10,9,9,13,19,20,12,21,27,8,16,12,31,26,21,23,11,12
515,aoba,f,双葉ケ丘１丁目,4,4,3,3,2,7,7,3,2,9,11,5,6,8,7,9,4,4,3,5,11,6,8,8,4,10,9,8,10,7,9,8,8,3,12,10,7,7,12,15,4,11,7,10,14,12,16,12,8,21,14,12,11,8,18,9,12,14,12,10,12,9,11,10,5,8,9,10,7,11,7,8,16,6,8,9,9,9,12,11,8,6,12,7,13,10,6,4,5,3,0,4,1,2,0,2,2,1,0,1,0,16,28,37,25,37,44,40,51,46,69,63,57,47,45,45,50,46,28,13
516,aoba,f,双葉ケ丘２丁目,0,1,0,1,0,0,2,2,1,0,3,2,0,1,0,1,0,3,1,1,0,4,0,1,3,1,1,1,1,0,0,1,0,2,0,1,2,2,3,2,1,1,4,4,3,1,3,2,5,0,0,1,5,1,3,1,3,0,2,1,1,2,1,1,0,3,5,4,7,3,5,2,3,4,3,4,2,7,1,4,5,2,5,0,4,1,1,4,0,2,1,2,1,0,0,0,0,2,1,1,1,2,5,6,6,8,4,3,10,13,11,10,7,5,22,17,18,16,8,9
517,aoba,f,二日町,14,6,8,8,6,9,11,6,6,8,8,6,4,8,11,11,5,5,8,14,18,11,12,16,14,24,14,25,27,20,19,15,21,31,20,18,19,17,29,17,28,25,25,34,23,26,19,17,18,25,14,17,24,15,15,11,16,15,12,14,12,14,9,8,12,12,15,12,15,11,20,18,21,21,5,14,11,11,9,12,9,6,11,10,7,12,4,5,8,9,5,3,3,2,1,1,0,0,0,1,0,42,40,37,43,71,110,106,100,135,105,85,68,55,65,85,57,43,38,16
518,aoba,f,本町１丁目,6,5,1,3,3,6,3,2,0,5,1,1,2,2,2,1,3,4,2,10,5,8,2,17,8,11,12,14,8,13,8,7,9,9,9,10,11,4,7,12,3,14,8,8,8,11,7,13,12,9,7,9,8,7,12,8,9,10,5,8,8,6,4,5,8,6,4,5,10,8,10,10,7,6,3,6,7,1,7,4,5,3,3,4,2,1,3,2,0,1,0,7,0,0,1,0,1,0,0,0,0,18,16,8,20,40,58,42,44,41,52,43,40,31,33,36,25,17,7,9
519,aoba,f,本町２丁目,1,0,1,0,3,1,1,0,1,3,1,1,0,0,1,2,2,1,0,0,3,0,3,0,4,5,3,3,4,7,0,4,4,2,1,1,1,5,7,3,1,1,4,2,2,6,4,3,4,1,3,1,2,4,1,3,3,3,1,2,4,2,4,0,1,1,0,1,1,1,4,3,6,0,0,1,4,1,1,0,1,1,0,1,4,1,5,3,2,1,3,4,3,0,1,1,1,0,0,0,1,5,6,3,5,10,22,11,17,10,18,11,12,11,4,13,7,7,12,14
520,aoba,f,本町３丁目,3,3,4,2,4,3,6,9,1,6,1,0,0,1,1,1,1,2,1,2,1,1,0,0,0,2,2,2,3,3,4,1,2,1,3,6,7,7,8,4,8,5,5,4,3,8,7,7,1,5,4,5,7,5,4,4,4,2,4,5,1,0,3,1,4,2,0,0,1,4,0,1,3,2,0,2,4,1,0,0,1,2,0,0,1,2,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,16,25,3,7,2,12,11,32,25,28,25,19,9,7,6,7,4,5,3
