,town_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+
168,仙台港北２丁目,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
169,高砂１丁目,15,11,20,11,12,11,12,8,5,6,10,5,9,3,10,5,10,8,12,18,11,11,9,23,18,11,14,18,22,23,15,19,21,22,15,16,23,21,12,18,15,18,17,19,20,20,26,15,22,21,28,21,16,22,13,15,23,19,13,14,17,17,15,12,6,8,5,11,11,12,9,10,5,1,3,6,8,5,4,4,4,6,4,3,3,5,3,2,0,1,1,1,0,0,0,0,0,0,0,0,0
170,高砂２丁目,3,3,4,4,3,5,4,0,4,1,1,1,0,3,3,4,3,3,2,2,6,3,3,6,4,11,7,7,12,6,6,11,10,6,4,7,8,7,5,8,5,5,3,11,4,6,7,11,5,3,5,9,9,2,14,3,0,4,4,6,3,7,2,2,5,4,4,1,2,4,7,5,9,3,3,2,2,6,2,3,3,1,1,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,田子,4,4,5,5,7,8,3,7,3,4,5,4,5,0,6,3,3,5,1,5,2,4,8,2,2,5,3,10,2,2,4,6,6,8,8,3,9,7,9,5,13,6,6,5,9,2,4,9,7,3,6,6,5,11,5,5,2,6,3,8,2,4,4,7,7,12,11,11,8,9,11,10,7,7,6,2,7,2,4,2,5,0,2,1,2,2,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0
184,田子１丁目,7,8,7,8,3,8,16,9,7,10,13,7,10,10,7,16,17,22,12,27,17,11,15,16,16,17,17,17,19,22,14,23,20,16,22,13,17,16,16,20,16,15,20,19,22,21,25,15,17,16,14,18,28,12,9,18,18,14,11,14,16,14,17,11,10,13,8,11,9,18,15,15,11,14,7,7,12,6,8,5,3,1,5,4,4,2,5,4,1,1,1,2,0,3,0,0,0,0,0,0,0
185,田子２丁目,15,11,18,14,9,14,8,15,11,6,6,6,4,7,6,7,12,7,12,10,15,5,15,16,10,11,23,20,13,21,14,17,20,26,17,14,16,20,11,22,15,18,15,12,19,22,15,14,14,14,16,14,9,7,9,13,14,9,5,12,7,13,9,7,6,10,10,9,11,10,8,6,9,0,3,3,3,2,1,4,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
186,田子３丁目,8,9,4,10,9,6,16,11,7,12,10,14,16,16,19,12,26,27,17,10,9,11,10,9,9,12,9,10,10,20,15,12,13,12,18,13,9,8,23,15,14,17,13,18,15,19,22,16,18,18,12,14,17,12,15,11,10,16,9,15,11,9,8,4,8,10,9,10,4,12,15,10,9,13,5,11,5,10,8,3,6,3,6,4,4,1,1,5,1,2,0,2,1,0,1,0,0,0,0,0,0
187,田子西１丁目,4,4,6,7,6,5,1,7,6,4,4,3,7,3,3,1,4,4,3,0,3,2,3,0,2,3,2,1,2,5,3,3,3,4,4,7,1,3,8,4,8,1,9,4,4,2,6,5,2,8,1,4,4,2,3,3,0,7,0,1,5,2,3,3,3,1,6,6,7,3,10,5,4,3,3,1,4,5,4,5,1,1,1,1,2,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
188,田子西２丁目,2,4,7,6,5,6,6,5,1,8,1,6,7,7,1,10,4,8,3,5,4,4,4,3,0,6,3,3,2,1,1,4,4,6,7,4,5,3,6,8,6,8,8,3,4,6,6,3,9,9,4,5,4,6,8,4,8,4,3,3,0,5,4,5,2,4,11,2,3,2,4,8,5,6,0,5,3,4,4,5,3,3,5,2,3,1,2,3,1,0,0,1,1,0,1,0,0,0,0,0,0
189,田子西３丁目,4,1,3,2,5,1,6,2,1,1,3,3,3,4,3,2,0,1,1,3,0,3,3,3,3,2,1,1,2,1,3,4,1,2,4,3,1,4,2,5,5,3,4,3,2,4,4,3,2,1,3,2,2,4,1,2,2,5,1,6,3,0,2,1,0,4,4,3,0,5,2,10,3,3,0,1,3,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
190,榴ケ岡,8,14,12,9,11,11,11,12,11,13,14,11,9,14,9,6,8,12,14,12,5,9,13,11,13,8,11,12,15,10,19,16,16,13,14,12,23,17,13,15,21,21,20,28,21,24,25,20,23,21,14,25,18,12,22,11,17,20,11,10,11,8,7,13,12,7,11,9,4,8,10,6,11,6,1,3,6,4,1,3,6,0,1,3,2,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
191,榴岡１丁目,0,0,0,1,0,1,0,0,1,0,0,2,2,0,1,1,0,0,0,1,2,1,1,2,0,2,1,2,2,3,4,3,2,3,1,4,3,2,3,1,0,2,4,1,2,0,5,3,1,2,1,3,2,2,0,3,1,1,3,3,2,6,3,0,0,1,2,1,4,3,1,2,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
192,榴岡２丁目,2,5,5,2,6,1,2,1,2,4,1,1,5,0,1,2,1,2,3,3,1,3,2,3,6,3,3,4,3,6,3,2,4,6,2,5,5,3,5,6,4,5,1,5,4,7,5,4,4,5,2,7,8,2,5,7,4,3,6,2,2,3,4,3,0,2,1,7,1,2,2,1,2,1,0,1,1,0,0,1,1,1,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
193,榴岡３丁目,2,6,2,5,3,6,8,3,10,5,6,4,8,4,6,4,7,7,9,8,10,8,6,12,10,12,6,7,10,11,7,8,10,5,11,12,9,17,10,6,13,9,14,14,7,14,10,17,14,18,11,8,15,12,12,10,8,12,5,11,8,13,9,12,6,3,13,9,8,12,5,11,11,8,5,9,5,7,4,2,3,4,0,3,2,5,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0
194,榴岡４丁目,3,2,5,3,0,1,1,1,1,2,4,1,1,4,1,5,2,0,3,3,1,4,4,6,6,5,5,6,1,5,5,5,8,3,7,6,5,5,8,4,5,7,4,2,6,5,6,5,8,4,3,6,2,3,3,4,5,5,3,3,5,0,2,2,5,3,7,2,5,6,8,6,10,5,5,2,5,4,3,1,2,2,6,0,1,4,2,1,2,2,0,0,1,0,0,0,0,0,0,0,0
195,榴岡５丁目,9,4,4,6,5,6,5,2,8,5,4,1,3,4,4,12,6,7,6,9,6,5,9,8,16,16,4,13,14,15,6,14,7,14,8,5,14,8,7,5,7,8,7,7,13,13,15,14,13,15,9,8,14,5,10,15,11,10,5,8,7,9,6,9,4,10,1,2,3,4,10,3,6,6,3,1,6,4,1,1,1,1,2,2,4,1,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0
197,燕沢,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
198,燕沢１丁目,6,7,7,7,7,2,4,2,3,6,1,2,5,4,6,6,4,5,5,6,9,5,8,6,4,5,3,2,8,8,7,3,7,9,7,6,6,5,5,7,7,3,8,11,5,6,8,9,19,11,4,5,14,5,6,5,7,2,7,6,8,9,5,8,8,4,2,9,7,8,2,8,1,8,3,8,9,5,2,1,4,6,9,5,3,3,3,0,3,1,4,0,1,0,0,1,1,1,0,0,0
199,燕沢２丁目,5,8,3,5,6,9,6,5,6,9,6,3,6,2,8,7,12,6,9,10,5,6,7,6,8,6,14,9,11,3,13,8,8,8,10,2,9,10,6,9,11,7,14,12,15,8,12,10,9,11,13,10,11,4,16,10,7,10,10,12,15,12,9,10,5,4,9,14,17,6,11,13,7,9,5,10,5,7,7,1,3,3,4,6,5,3,1,7,4,2,2,4,0,0,0,1,1,1,0,0,0
200,燕沢３丁目,4,2,1,2,6,4,6,4,2,4,2,1,0,5,2,3,2,4,4,3,3,2,1,4,2,4,3,4,5,3,5,6,6,9,3,9,4,6,2,11,7,2,4,5,8,11,8,5,2,5,6,4,4,3,4,4,4,3,7,2,3,2,4,6,2,7,6,3,6,2,2,6,7,4,6,7,2,1,2,3,4,2,5,1,1,3,4,3,0,0,1,1,1,0,0,2,0,0,0,0,0
201,燕沢東１丁目,1,3,2,2,3,1,1,2,1,0,1,2,1,2,1,2,0,3,1,1,3,2,0,2,4,3,6,0,0,4,5,3,8,9,4,4,4,3,5,2,3,3,3,2,4,3,4,4,2,4,5,2,4,2,3,2,3,3,0,3,1,0,2,2,0,2,2,4,0,1,1,1,3,3,3,4,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202,燕沢東２丁目,4,5,5,9,5,3,6,3,3,5,5,4,2,1,3,2,4,2,2,1,0,5,2,1,1,2,5,1,2,2,7,6,5,7,7,4,3,5,4,5,5,5,5,4,5,3,7,7,6,3,4,3,2,3,5,4,4,3,4,5,2,4,5,0,4,2,3,1,4,3,3,4,6,2,1,3,4,7,3,4,1,2,0,1,3,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0
203,燕沢東３丁目,5,5,4,5,8,8,5,3,7,7,4,6,7,2,5,4,3,5,6,8,8,5,8,11,4,8,7,2,11,9,7,14,8,4,10,4,11,8,12,8,9,5,12,8,12,8,8,11,9,11,10,13,3,4,7,5,7,9,7,7,6,4,4,5,4,5,3,5,6,8,5,4,3,2,2,7,5,6,3,6,6,1,2,3,4,4,5,3,1,5,0,0,6,1,2,0,0,0,0,0,0
212,鶴ケ谷,0,0,3,2,3,3,2,2,4,3,0,1,1,3,2,3,2,3,2,1,3,3,3,1,8,7,3,4,1,2,2,3,2,6,6,2,1,5,4,3,2,5,4,4,4,4,2,11,2,3,3,4,2,5,4,2,7,1,2,4,2,2,4,4,2,1,1,2,3,4,2,4,2,2,1,1,2,1,4,2,3,1,0,2,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
213,鶴ケ谷１丁目,4,1,3,6,7,5,4,6,7,2,8,2,3,3,6,6,2,4,11,4,2,3,3,4,6,1,3,5,4,5,6,4,3,9,3,6,4,5,7,6,6,4,8,7,9,16,9,8,11,11,10,17,8,6,11,6,4,11,3,11,9,8,6,6,3,5,4,4,7,6,10,3,7,7,7,9,9,13,12,11,11,6,9,15,10,7,9,9,13,4,8,5,0,2,2,1,0,0,1,0,0
214,鶴ケ谷２丁目,5,3,7,12,2,14,7,5,3,10,6,11,9,10,9,9,3,11,10,5,1,6,9,4,5,6,5,8,8,5,7,7,6,9,6,10,4,10,5,7,3,8,11,15,14,13,12,11,12,7,19,14,11,13,16,12,10,12,13,5,12,14,9,14,11,25,12,22,20,20,21,20,12,12,14,18,14,14,15,14,13,11,7,5,13,7,5,3,1,3,2,2,2,0,0,0,1,0,0,0,0
215,鶴ケ谷３丁目,7,5,4,7,13,5,6,5,6,8,12,3,7,3,2,6,7,0,3,3,5,3,3,8,1,4,3,2,2,6,3,4,7,3,6,4,8,7,4,9,11,4,7,9,5,9,7,7,8,5,10,9,7,8,2,5,4,5,4,3,8,3,7,1,4,5,9,5,1,4,2,2,5,4,1,8,8,2,12,7,3,6,12,7,7,5,3,5,9,2,6,3,4,3,2,0,0,1,0,0,0
216,鶴ケ谷４丁目,4,10,8,7,9,4,3,6,6,5,1,6,5,3,6,6,7,12,3,4,3,6,3,4,3,4,7,3,4,5,3,13,5,4,3,8,4,5,7,3,8,6,12,7,7,7,10,6,14,12,6,11,9,12,14,8,8,8,11,8,9,5,2,4,7,1,5,6,7,7,7,7,12,3,8,7,7,5,8,21,4,8,8,14,8,9,11,5,2,5,5,1,2,4,0,0,0,0,0,0,0
217,鶴ケ谷５丁目,2,2,3,9,6,4,6,2,7,6,6,8,9,6,8,6,5,8,4,5,10,6,9,4,9,4,2,6,4,5,3,9,2,8,2,4,15,3,2,14,7,10,3,5,16,12,11,13,10,20,10,11,11,5,9,8,10,8,7,9,11,6,2,8,9,10,9,11,16,10,13,10,8,5,7,5,7,7,10,14,10,9,7,10,7,7,6,0,5,2,2,2,2,2,0,0,0,0,0,0,0
218,鶴ケ谷６丁目,2,5,5,3,4,6,7,6,7,5,7,8,4,11,8,10,7,10,9,9,12,7,12,10,8,6,12,4,11,7,6,7,9,7,9,11,9,13,14,10,10,8,8,15,19,14,13,23,17,21,19,14,10,14,16,14,13,18,17,11,21,16,14,9,26,28,24,26,21,22,20,27,23,23,18,18,24,17,14,15,15,3,10,15,12,13,4,7,4,4,7,3,2,0,0,1,0,0,0,0,0
219,鶴ケ谷７丁目,7,6,5,7,4,5,4,7,4,3,3,5,2,3,5,3,3,2,5,3,5,5,5,3,2,1,7,4,3,6,7,14,2,7,5,6,9,5,10,6,5,6,10,4,9,5,10,4,7,12,11,12,8,8,10,10,11,9,5,6,5,6,6,8,5,7,5,4,4,5,4,6,5,4,4,3,6,8,6,6,11,9,10,6,6,10,15,5,6,5,4,5,4,1,0,3,2,0,1,0,0
220,鶴ケ谷８丁目,2,4,2,1,1,2,0,2,4,4,2,2,4,5,2,5,3,5,1,2,2,2,4,1,3,4,2,3,4,3,2,2,6,3,3,3,3,6,2,5,3,0,1,3,3,4,4,6,3,10,9,4,8,6,2,10,12,4,7,7,8,7,3,8,6,3,5,8,4,3,4,6,4,3,3,2,3,5,6,5,4,3,1,6,8,8,6,6,5,4,1,1,1,0,0,1,0,0,0,0,0
221,鶴ケ谷北１丁目,1,1,1,2,1,1,0,0,3,4,1,1,2,3,3,4,4,3,1,4,1,2,1,0,2,0,1,2,2,1,0,0,2,4,0,0,1,2,2,1,2,6,4,3,2,3,4,5,2,3,1,1,3,2,1,3,4,2,1,1,2,2,7,1,4,4,3,6,7,7,8,8,5,5,2,9,6,10,5,5,4,6,3,0,4,3,3,2,1,1,2,1,0,0,0,0,1,0,0,0,0
222,鶴ケ谷北２丁目,1,1,1,2,4,0,1,2,4,1,3,0,4,2,1,2,1,2,5,1,1,0,1,1,0,2,3,1,1,2,3,0,2,0,1,1,3,2,2,4,2,3,2,4,9,7,3,7,2,3,4,0,3,3,1,2,2,0,1,4,0,4,0,2,2,2,3,3,2,3,7,4,3,4,5,7,5,4,4,3,4,1,2,3,1,3,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0
223,鶴ケ谷東１丁目,4,0,3,5,0,3,4,4,3,4,3,2,1,4,5,2,5,3,3,1,2,3,2,2,3,2,3,3,1,2,3,2,1,3,2,3,6,5,4,6,1,4,9,5,5,8,4,3,5,5,4,2,5,0,3,7,2,0,2,4,0,0,1,1,1,2,4,1,2,1,4,2,2,3,3,2,4,5,2,4,2,1,3,1,3,1,2,0,1,0,0,2,1,1,0,0,1,0,0,0,0
224,鶴ケ谷東２丁目,3,5,5,7,7,1,5,3,9,8,11,7,5,4,4,5,6,4,7,7,3,8,5,3,8,6,4,6,4,3,3,7,1,6,6,8,5,9,13,13,9,8,9,14,11,8,5,13,18,8,6,11,10,12,8,5,4,7,6,7,7,8,5,6,4,11,11,9,13,11,13,10,7,15,9,13,9,6,3,4,6,3,4,5,1,4,2,1,4,2,1,0,2,1,0,0,0,0,0,0,0
225,鶴ケ谷東３丁目,6,3,4,7,5,5,9,8,2,2,6,7,1,5,5,3,2,3,1,4,1,3,2,5,5,3,2,3,6,4,4,8,6,6,12,6,7,9,7,7,9,10,8,13,4,6,11,8,7,11,6,4,3,4,7,4,5,3,8,1,8,4,2,7,6,3,5,6,7,8,12,11,19,9,4,3,12,6,6,5,1,2,4,3,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
226,鶴ケ谷東４丁目,5,2,3,6,1,5,5,4,4,7,5,6,6,2,4,1,2,3,10,3,1,3,5,6,2,3,3,2,1,1,5,0,8,7,5,10,9,4,8,7,9,4,12,2,9,9,9,9,7,5,5,7,6,3,5,5,2,6,5,6,6,4,6,3,7,3,3,3,5,5,7,7,5,3,4,2,5,2,2,4,3,3,2,3,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
227,鶴巻１丁目,4,4,7,6,6,3,10,6,9,5,10,5,8,2,4,1,4,6,5,8,2,7,5,6,5,2,5,10,9,4,8,7,8,15,11,7,7,6,5,7,7,15,12,8,18,7,8,12,13,8,7,8,10,3,6,8,4,3,6,6,5,16,8,5,8,8,2,2,5,6,6,4,4,1,4,2,1,3,3,1,0,3,0,3,2,0,1,1,1,1,2,0,1,1,0,0,0,0,0,0,1
228,鶴巻２丁目,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,1,1,2,1,1,1,2,0,0,0,1,0,3,1,1,0,1,1,2,0,2,1,1,3,1,2,1,1,1,0,2,1,2,1,1,2,0,3,4,1,0,1,2,0,1,0,2,0,1,2,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
229,鉄砲町,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
230,鉄砲町中,2,2,1,3,0,3,2,1,1,0,2,2,0,0,1,2,2,1,0,6,2,1,2,10,8,3,5,12,7,7,5,3,8,11,6,11,4,6,5,4,4,1,5,3,7,8,4,1,2,5,5,6,2,2,4,2,5,2,2,1,0,2,1,0,3,1,0,2,1,1,1,1,0,0,1,0,1,1,1,1,0,1,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
231,鉄砲町西,2,2,1,1,0,3,1,0,0,2,6,1,2,4,0,4,2,1,3,1,3,2,2,9,3,7,4,3,5,3,2,2,2,5,5,3,2,1,1,4,3,2,6,3,4,5,5,3,8,5,4,5,7,1,1,6,3,4,3,1,5,3,3,4,3,1,1,3,2,0,3,1,1,2,0,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,鉄砲町東,10,7,14,12,7,10,6,6,6,6,1,4,4,3,0,0,4,1,4,3,5,3,3,7,5,10,10,6,4,9,7,4,15,17,16,11,19,11,10,11,10,8,8,12,4,10,10,5,10,7,8,10,11,4,4,2,7,3,6,8,4,6,2,6,3,1,4,4,5,1,6,3,4,8,1,2,1,7,2,1,0,0,0,0,1,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0
233,名掛丁,2,3,2,4,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,3,4,5,5,7,1,2,6,6,4,6,3,3,0,4,3,7,2,3,2,1,3,6,5,4,3,2,2,0,1,2,1,1,1,3,0,0,1,0,2,2,2,2,0,1,0,0,1,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,中野,6,6,3,3,6,2,5,6,2,0,7,1,7,1,7,7,7,11,3,4,7,5,9,16,14,6,11,8,4,6,6,7,9,10,10,12,8,14,7,6,7,6,14,10,10,10,11,10,10,8,16,9,10,7,8,5,6,4,13,12,12,6,8,7,11,3,5,4,6,7,6,3,7,6,5,3,5,7,1,1,3,5,4,6,1,2,4,5,2,2,1,1,0,0,0,0,0,0,0,0,0
245,中野１丁目,10,4,6,8,6,4,3,8,1,6,3,3,2,1,2,2,3,2,1,8,2,1,4,1,6,5,7,6,7,7,6,5,9,6,9,7,4,7,4,6,7,6,3,6,11,6,9,5,10,3,5,8,9,0,6,3,2,4,3,3,1,2,1,5,2,3,4,1,6,4,1,7,6,3,2,0,2,2,2,5,3,3,2,1,1,1,3,1,0,1,1,3,0,1,0,0,0,1,0,0,0
246,中野２丁目,0,3,5,0,4,3,1,4,2,2,5,1,4,6,7,2,6,3,0,1,2,3,6,5,4,3,4,5,4,3,7,3,5,5,3,10,7,3,2,5,6,6,3,6,10,10,9,3,7,3,6,5,7,6,5,1,2,3,3,2,4,3,3,4,3,1,0,0,2,3,1,3,3,2,2,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0
247,中野３丁目,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
248,中野４丁目,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
249,中野５丁目,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
250,苦竹１丁目,4,4,4,2,4,3,3,3,3,3,3,4,3,1,3,8,5,5,2,4,7,10,6,6,17,14,13,17,10,17,16,16,16,9,10,13,12,7,9,10,13,15,7,15,11,15,21,9,16,12,16,10,12,13,8,10,8,6,11,14,7,9,17,5,9,8,6,16,9,10,10,12,10,3,5,5,13,10,3,5,3,5,4,5,3,4,2,6,1,1,1,2,3,0,0,0,0,0,0,0,0
251,苦竹２丁目,5,3,4,2,2,4,4,1,1,4,3,1,0,3,2,1,1,1,0,5,0,4,4,3,4,2,8,9,9,6,3,8,8,1,7,4,4,5,5,5,5,8,8,5,5,8,10,7,9,9,8,2,4,5,5,1,1,6,3,2,4,2,2,1,2,0,2,0,3,1,4,1,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,苦竹３丁目,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
253,苦竹４丁目,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
254,西宮城野,5,3,5,5,3,4,4,2,1,6,2,2,7,6,10,3,7,4,2,2,8,9,5,1,5,8,9,9,12,6,9,5,7,6,7,12,9,14,13,16,8,14,8,12,8,6,10,5,5,6,10,12,10,11,4,8,14,18,6,12,7,4,7,7,4,5,7,2,1,5,4,5,9,6,2,3,1,2,1,3,0,3,1,1,1,0,0,2,1,1,0,0,1,1,0,1,0,0,0,0,0
255,二十人町,5,9,4,8,7,6,5,6,2,5,1,2,3,2,3,0,1,2,4,0,3,3,8,13,19,20,26,21,18,16,21,12,20,19,15,15,10,15,22,20,15,18,14,12,7,15,11,17,13,15,8,10,9,9,4,3,6,8,7,3,4,4,5,3,1,2,5,2,1,3,4,2,4,0,2,3,2,3,0,1,1,0,3,4,2,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0
256,二十人町通,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
257,二の森,10,12,9,10,10,7,9,7,5,8,7,8,8,11,5,6,9,7,17,10,15,16,13,4,7,11,6,14,5,12,10,8,8,15,7,15,12,16,10,10,12,19,16,10,16,12,12,15,15,16,12,8,22,16,21,15,20,14,13,9,11,13,14,18,16,4,13,5,7,10,8,14,19,4,5,5,4,5,8,3,1,5,5,4,3,9,2,2,4,0,3,0,1,1,1,0,0,1,0,0,0
258,萩野町１丁目,6,4,2,4,4,2,5,5,3,2,5,5,3,4,2,3,1,4,4,8,4,3,6,10,6,7,9,12,10,11,2,10,9,9,8,4,12,8,8,6,12,4,11,10,10,14,13,5,8,10,6,8,12,8,5,9,9,8,5,7,4,9,4,7,3,5,2,7,8,6,5,9,12,2,1,4,7,7,1,2,3,1,2,3,1,2,0,2,1,1,1,0,2,1,0,2,0,0,1,0,0
259,萩野町２丁目,9,2,5,8,5,8,6,2,8,4,4,5,8,6,9,7,10,7,10,15,12,1,6,6,1,6,11,10,12,7,9,11,6,8,15,13,5,11,12,14,2,15,9,11,15,5,15,15,8,12,11,6,14,7,7,8,10,10,11,10,8,6,5,12,5,3,6,6,3,4,8,4,3,3,3,0,2,3,3,0,1,2,4,0,2,2,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0
260,萩野町３丁目,9,4,10,10,6,8,5,10,7,11,6,6,5,6,8,3,9,7,4,3,4,18,9,10,10,8,9,12,12,8,11,18,14,10,13,12,11,17,13,16,11,13,23,10,13,17,19,13,13,6,14,13,11,12,12,10,11,14,19,13,5,10,5,9,8,11,6,9,8,8,4,6,7,11,3,7,9,5,9,8,3,6,4,2,1,6,1,4,1,1,0,1,1,0,0,0,0,0,1,0,0
261,萩野町４丁目,6,7,3,7,11,5,7,8,4,10,2,9,4,7,3,6,5,4,4,4,9,6,4,5,9,13,6,12,10,13,8,14,10,8,12,10,13,8,13,12,7,14,7,9,8,14,10,12,8,12,11,8,11,10,1,7,6,3,8,8,2,7,9,3,6,6,5,2,9,2,8,7,5,2,0,5,4,2,1,1,2,1,4,2,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
263,原町南目,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,3,1,2,3,0,0,0,0,2,1,3,2,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
